0.004,-0.081,0.558,0.394
0.107,0.020,0.525,0.810
0.211,0.051,0.531,0.794
0.314,0.069,0.543,0.841
0.419,0.030,0.544,0.838
0.523,0.021,0.521,0.841
0.628,0.031,0.563,0.855
0.733,0.011,0.539,0.837
0.838,0.019,0.529,0.799
0.943,0.021,0.561,0.806
1.047,0.025,0.543,0.789
1.152,-0.003,0.509,0.686
1.259,-0.139,-0.056,-0.075
1.364,-0.051,0.002,0.062
1.469,-0.013,0.030,0.075
1.573,-0.030,0.038,0.094
1.678,-0.045,0.055,0.163
1.783,1.146,-0.315,1.999
1.888,0.333,-0.144,0.749
1.992,0.498,-0.427,0.744
2.097,0.301,-0.536,0.814
2.202,0.220,-0.494,0.886
2.307,0.250,-0.443,0.869
2.412,0.290,-0.408,0.855
2.517,0.268,-0.442,0.857
2.621,0.270,-0.429,0.859
2.726,0.269,-0.435,0.860
2.831,0.268,-0.432,0.858
2.936,0.269,-0.434,0.860
3.041,0.270,-0.431,0.860
3.145,0.270,-0.436,0.860
3.250,0.270,-0.433,0.857
3.355,0.269,-0.433,0.873
3.459,0.269,-0.433,0.856
3.564,0.270,-0.434,0.859
3.669,0.270,-0.434,0.858
3.774,0.269,-0.432,0.859
3.879,0.268,-0.434,0.858
3.994,0.273,-0.433,0.862
4.099,0.271,-0.434,0.863
4.204,0.271,-0.435,0.862
4.309,0.270,-0.433,0.858
4.413,0.269,-0.435,0.860
4.518,0.271,-0.434,0.861
4.623,0.270,-0.434,0.862
4.728,0.270,-0.434,0.861
4.833,0.270,-0.432,0.859
4.938,0.269,-0.432,0.858
5.049,0.273,-0.432,0.861
5.153,0.270,-0.437,0.845
5.259,0.269,-0.435,0.858
5.364,0.269,-0.433,0.859
5.469,0.270,-0.433,0.861
5.574,0.272,-0.433,0.859
5.679,0.271,-0.434,0.861
5.784,0.269,-0.435,0.857
5.889,0.270,-0.433,0.859
0.004,0.073,0.243,0.821
0.107,0.099,0.254,0.967
0.210,0.092,0.243,0.964
0.314,0.091,0.197,0.968
0.417,0.107,0.249,0.969
0.521,0.109,0.227,0.961
0.624,0.113,0.226,0.960
0.729,0.105,0.241,0.976
0.834,0.123,0.231,0.964
0.938,0.099,0.230,0.951
1.043,0.116,0.268,0.972
1.148,0.109,0.247,0.955
1.255,0.097,0.213,0.965
1.360,0.121,0.235,0.961
1.465,0.111,0.263,0.960
1.569,0.096,0.243,0.967
1.674,0.109,0.231,0.954
1.779,0.111,0.231,0.955
1.884,0.111,0.250,0.967
1.989,0.110,0.244,0.956
2.093,0.111,0.240,0.966
2.198,0.114,0.243,0.951
2.303,0.124,0.242,0.974
2.408,0.109,0.252,0.965
2.513,0.114,0.248,0.967
2.618,0.093,0.221,0.954
2.723,0.117,0.246,0.968
2.828,0.108,0.236,0.949
2.932,0.107,0.241,0.964
3.037,0.097,0.218,0.960
3.142,0.118,0.242,0.967
3.247,0.108,0.254,0.971
3.352,0.065,0.225,0.899
3.457,-0.044,0.104,0.516
3.562,-0.043,-0.024,-0.012
3.667,-0.006,-0.014,0.047
3.772,-0.005,-0.003,0.065
3.877,0.005,0.041,0.117
3.981,0.026,0.044,0.151
4.086,0.045,0.018,0.168
4.191,-0.142,0.607,0.958
4.296,0.615,-0.075,0.409
4.401,0.686,-0.179,0.586
4.505,0.563,-0.282,0.787
4.610,0.470,-0.102,0.964
4.715,0.338,0.138,0.964
4.820,0.378,0.083,0.906
4.925,0.386,0.032,0.916
5.029,0.383,0.060,0.913
5.140,0.380,0.055,0.914
5.246,0.382,0.051,0.914
5.351,0.382,0.054,0.916
5.456,0.384,0.053,0.915
5.561,0.385,0.052,0.915
5.665,0.380,0.053,0.911
5.770,0.384,0.053,0.912
5.875,0.385,0.056,0.915
5.980,0.383,0.054,0.911
6.085,0.380,0.054,0.913
6.189,0.383,0.054,0.914
6.294,0.384,0.053,0.912
6.399,0.384,0.053,0.914
6.504,0.383,0.055,0.918
6.609,0.384,0.052,0.913
6.714,0.383,0.055,0.916
6.819,0.384,0.055,0.914
6.923,0.385,0.054,0.913
7.028,0.381,0.054,0.910
7.133,0.384,0.054,0.914
7.238,0.384,0.054,0.911
7.343,0.382,0.054,0.915
7.448,0.385,0.054,0.913
